Station,Lat,Long,Town,River,High Level,Color
Hartford Bridge,55.113789,-1.620587,Hartford Bridge,Blyth,0.55,"rgba(255, 194, 0)"
Reeth,54.387346,-1.936039,Fremington,Arkle Beck,0.661,"rgba(255, 194, 0)"
Beck Bridge,52.332181,0.438278,Isleham,Kennett,0.223,"rgba(0, 204, 0)"
Limekilns,50.682229,-3.470109,Exminster,Exminster Marshes,1.2,"rgba(255, 0, 0)"
Restormel,50.431183,-4.67963,Lostwithiel,River Fowey,1.5,"rgba(255, 0, 0)"
"Hemel Hempstead, Old Fishery Lane",51.744674,-0.49654,Hemel Hempstead,Bulbourne,1.8,"rgba(255, 0, 0)"
Trenear,50.133798,-5.254647,Wendron,River Cober,1,"rgba(255, 0, 0)"
Kirby Sigston,54.347769,-1.3567,Kirby Sigston,Cod Beck,1.2,"rgba(255, 0, 0)"
Preston-Le-Skerne,54.60851,-1.549436,Aycliffe Village,River Skerne,1.4,"rgba(255, 0, 0)"
Derwent Water at Lodore,54.562827,-3.138777,Derwent Water at Lodore,Derwentwater,1.706,"rgba(255, 0, 0)"
Ross On Wye,51.915339,-2.587573,Ross On Wye,Wye,3.2,"rgba(255, 0, 0)"
Stamford Bridge,53.991789,-0.916086,Tan Hall,River Derwent,9,"rgba(255, 0, 0)"
Little Ouse,52.453082,0.545246,Lakenheath,Little Ouse,2.105,"rgba(255, 0, 0)"
Whitwick,52.739499,-1.353725,Whitwick,Grace Dieu Brook,1.25,"rgba(255, 0, 0)"
Crew Green,52.735739,-2.994315,Crewgreen,River Severn,5.2,"rgba(255, 0, 0)"
Moorend Road,51.883138,-2.061691,Cheltenham,Lilley Brook,0.49,"rgba(0, 204, 0)"
Gosshill Road,51.403702,0.060218,Bickley,Kyd Brook,1.1,"rgba(255, 0, 0)"
Howe Bridge,54.174308,-0.762132,Wykeham,River Rye,3.45,"rgba(255, 0, 0)"
Chapel Hill,53.070452,-0.196967,Chapel Hill,Witham,1.333,"rgba(255, 0, 0)"
Princes Marsh,51.037463,-0.89988,Princes Marsh,Arun,0.9,"rgba(255, 0, 0)"
Colliers Land Bridge,51.150722,0.174763,Fordcombe,Medway,2.75,"rgba(255, 0, 0)"
Fairmile,50.767191,-3.29459,Fairmile,River Tale,0.727,"rgba(255, 194, 0)"
Pillings Lock,52.758541,-1.164067,Barrow Upon Soar,River Soar,1.144,"rgba(255, 0, 0)"
Tibberton,52.781029,-2.474812,Tibberton,River Meese,0.327,"rgba(0, 204, 0)"
Furneux Pelham,51.930418,0.086394,Furneux Pelham,Ash (Hertfordshire),1,"rgba(255, 0, 0)"
Burford Bridge,52.311774,-2.625404,Burford,Ledwyche Brook,1.5,"rgba(255, 0, 0)"
Houghton Le Spring,54.842382,-1.487058,Houghton Le Spring,Moors Burn,1,"rgba(255, 0, 0)"
Naburn Lock,53.89327,-1.097619,Naburn,River Ouse,2.247,"rgba(255, 0, 0)"
Kilnhurst Bridge,53.472151,-1.296778,Kilnhurst,River Don,3.4,"rgba(255, 0, 0)"
Chollerford,55.029637,-2.127318,Chollerford,River North Tyne,0.441,"rgba(0, 204, 0)"
Hackbridge,51.377064,-0.160112,Hackbridge,Wandle,1.51,"rgba(255, 0, 0)"
Cornwood,50.417855,-3.959444,Cornwood,River Yealm,1.5,"rgba(255, 0, 0)"
Rothley,52.7031,-1.142483,Rothley,Rothley Brook,1.25,"rgba(255, 0, 0)"
Whetstone,51.623491,-0.185411,Totteridge,Dollis Brook,1.6,"rgba(255, 0, 0)"
Holbeam Dam Downstream,50.533259,-3.657787,Newton Abbot,River Lemon,0.741,"rgba(255, 194, 0)"
Bishops Avenue,51.401378,0.028483,Bromley,Ravensbourne,1.5,"rgba(255, 0, 0)"
Marham,52.678061,0.547924,Marham,Nar,0.317,"rgba(0, 204, 0)"
Drakelow,52.780647,-1.647106,Branston,River Trent,2.038,"rgba(255, 0, 0)"
Lapford,50.857808,-3.810592,Lapford,River Yeo,2.3,"rgba(255, 0, 0)"
Slad Road,51.747599,-2.214291,Stroud,Slad Brook,0.43,"rgba(0, 204, 0)"
Low Street,52.612011,1.01713,Thuxton,River Yare,1.3,"rgba(255, 0, 0)"
Molesey Lock,51.406476,-0.349558,East Molesey,Thames,0.295,"rgba(0, 204, 0)"
Little Puddle,50.767098,-2.400751,Piddlehinton,River Piddle,0.38,"rgba(0, 204, 0)"
Ampney St Peter,51.710647,-1.889951,Ampney St Peter,Ampney Brook,0.93,"rgba(255, 0, 0)"
Collard Bridge,51.099972,-4.010005,Goodleigh,River Yeo,0.726,"rgba(255, 194, 0)"
Mountnessing,51.648181,0.346098,Mountnessing,River Wid,0.432,"rgba(0, 204, 0)"
Huntingford Bridge,51.067397,-2.26953,Huntingford,Shreen Water,0.51,"rgba(255, 194, 0)"
Snaygill,53.940697,-2.021283,Ravenshaw,River Aire,4,"rgba(255, 0, 0)"
Hellifield,54.006777,-2.221986,Hellifield,Hellifield Beck,0.81,"rgba(255, 0, 0)"
Mevagissey,50.272818,-4.791471,Mevagissey,Mevagissey Stream,0.75,"rgba(255, 194, 0)"
Wheatley,51.740637,-1.115198,Wheatley,Thame,5.752,"rgba(255, 0, 0)"
Ingworth,52.819304,1.251666,Ingworth,River Bure,0.68,"rgba(255, 194, 0)"
Skelton,53.991515,-1.135153,Nether Poppleton,River Ouse,3,"rgba(255, 0, 0)"
Newby Bridge,54.268069,-2.974952,Newby Bridge,River Leven,1.3,"rgba(255, 0, 0)"
High River Keer,54.140607,-2.731323,Capernwray,Keer,0.517,"rgba(255, 194, 0)"
Cowley Bridge,50.759747,-3.559651,Cowley,River Creedy,2.5,"rgba(255, 0, 0)"
Wakefield Grasmere Road,53.686013,-1.529962,Wakefield,Alverthorpe Beck,1.05,"rgba(255, 0, 0)"
Loe Pool,50.08362,-5.291203,Helston,River Cober,4.7,"rgba(255, 0, 0)"
Braunton Butts Bridge,51.111292,-4.161795,Braunton,River Caen,1.2,"rgba(255, 0, 0)"
Sheepwash Bridge,50.851679,0.522713,Sheepwash Bridge,Cuckmere & Pevensey Levels,1.8,"rgba(255, 0, 0)"
Huish Episcopi PS,51.031669,-2.798991,Huish Episcopi,River Yeo,3.476,"rgba(255, 0, 0)"
High Ongar,51.713888,0.259177,High Ongar,Roding,1.25,"rgba(255, 0, 0)"
Waren Ford,55.550443,-1.784723,Warenford,Waren Burn,0.6,"rgba(255, 194, 0)"
Miller Bridge House,54.429259,-2.970683,Miller Bridge,River Rothay,1.063,"rgba(255, 0, 0)"
Abbeymead Avenue,51.840929,-2.202237,Gloucester,Twyver,0.265,"rgba(0, 204, 0)"
Wansford,52.584341,-0.404444,Wansford,Nene (Wollaston-Wansford),1.38,"rgba(255, 0, 0)"
Bekesbourne,51.258144,1.145929,Bekesbourne,Nail Bourne Tributary Little Stour,1.5,"rgba(255, 0, 0)"
Teston,51.250834,0.447181,West Farleigh,Medway,2.5,"rgba(255, 0, 0)"
Hawley Road,51.315486,-0.764535,Cove,Cove Brook,2.6,"rgba(255, 0, 0)"
Thetford Coffee Mill Sluice,52.415589,0.734272,Thetford,Little Ouse,0.707,"rgba(255, 194, 0)"
Redbridge,51.576239,0.040575,Wanstead,Roding,1.25,"rgba(255, 0, 0)"
St Johns Lock,51.68931,-1.678796,Lechlade On Thames,Thames,0.201,"rgba(0, 204, 0)"
Framlingham,52.230723,1.344041,Brabling Green,River Ore,1.1,"rgba(255, 0, 0)"
Ludlow Teme,52.36409,-2.706474,Ludlow,River Teme,3,"rgba(255, 0, 0)"
Stanhope,54.745941,-2.026369,Stanhope,River Wear,2.15,"rgba(255, 0, 0)"
Low Moor,53.872754,-2.414398,Low Moor,Ribble,3.3,"rgba(255, 0, 0)"
Greystone Bridge,50.60014,-4.3068,Felldownhead,River Tamar,3.1,"rgba(255, 0, 0)"
Old Woking FWS,51.302063,-0.543308,Old Woking,Wey,2.9,"rgba(255, 0, 0)"
Bampton,51.72466,-1.54887,Bampton,Shill Brook,1.4,"rgba(255, 0, 0)"
Laceby,53.546656,-0.159656,Laceby,Laceby Beck,0.345,"rgba(0, 204, 0)"
Ousden,52.206315,0.520869,Ousden,Kennett,1.7,"rgba(255, 0, 0)"
Queen's Mill,53.638515,-1.7867,Huddersfield,River Holme,1.2,"rgba(255, 0, 0)"
Ifield,51.11607,-0.222649,Ifield,Ifield Brook,2.05,"rgba(255, 0, 0)"
Ashton Weir,53.438308,-2.344072,Urmston,Mersey,1.071,"rgba(255, 0, 0)"
Veraby,51.025705,-3.749635,Bishop's Nympton,River Yeo,0.715,"rgba(255, 194, 0)"
Solihull Lodge,52.397668,-1.853805,Major's Green,River Cole,0.418,"rgba(0, 204, 0)"
Frome,51.242286,-2.327797,Frome,Somerset Frome,1.2,"rgba(255, 0, 0)"
Huntington,53.981457,-1.067671,Huntington,River Foss,2.05,"rgba(255, 0, 0)"
Wendlebury,51.874246,-1.18499,Wendlebury,Wendlebury Brook,1.59,"rgba(255, 0, 0)"
Baltmoor Wall,51.05693,-2.949032,East Lyng,Little Saltmoor Rhyne,3.972,"rgba(255, 0, 0)"
Ewell,51.355767,-0.255182,Ewell,Hogsmill,0.835,"rgba(255, 0, 0)"
Three Elms,52.069153,-2.743532,Three Elms,Yazor Brook,0.408,"rgba(0, 204, 0)"
Guildford Street,51.389272,-0.506291,Chertsey,Chertsey Bourne,1.5,"rgba(255, 0, 0)"
Bracebridge,53.202079,-0.553771,Boultham,Witham,1.84,"rgba(255, 0, 0)"
Bainbridge,54.311836,-2.102939,Bainbridge,River Ure,1.5,"rgba(255, 0, 0)"
Millbourne Bridge,51.349005,-0.602519,Chobham,Mill Bourne,2.28,"rgba(255, 0, 0)"
Broken Scar,54.517925,-1.601411,Low Coniscliffe,River Tees,2.5,"rgba(255, 0, 0)"
Winterborne Monkton,51.450901,-1.859793,Winterbourne Monkton,Kennet,1.105,"rgba(255, 0, 0)"
Liversedge Halifax Road,53.70985,-1.690136,Liversedge,Lands Beck,0.35,"rgba(0, 204, 0)"
North Cheam,51.374843,-0.208335,North Cheam,Pyl Brook,2.6,"rgba(255, 0, 0)"
Bagnor,51.422436,-1.350461,Bagnor,Winterbourne Stream,0.2,"rgba(0, 204, 0)"
"Hertford, Hartham Park",51.801234,-0.079759,Hertford,Beane,0.57,"rgba(255, 194, 0)"
Tregony,50.266031,-4.918599,Tregony,River Fal,1.5,"rgba(255, 0, 0)"
East Farleigh Gate Upstream,51.254622,0.485076,East Farleigh,Medway,1.487,"rgba(255, 0, 0)"
Taunton Market,51.020017,-3.100618,Taunton Market,River Tone,1.77,"rgba(255, 0, 0)"
Honiton,50.798774,-3.194372,Honiton,The Gissage,0.364,"rgba(0, 204, 0)"
John St Darlington,54.533026,-1.55104,Darlington,River Skerne,1.7,"rgba(255, 0, 0)"
Stanwell Mill,51.466242,-0.501779,Longford,Colne,1,"rgba(255, 0, 0)"
Peterchurch,52.041372,-2.955501,Peterchurch,Dore,1.2,"rgba(255, 0, 0)"
Ferrybridge Lock,53.713759,-1.26662,Ferrybridge,River Aire,2.1,"rgba(255, 0, 0)"
Hayes Lane,51.392901,0.019484,Bromley,Ravensbourne,1.5,"rgba(255, 0, 0)"
Halton,53.800865,-1.480337,Leeds,Wyke Beck,0.175,"rgba(0, 204, 0)"
Burstwick Hall Road Bridge,53.739921,-0.144398,Burstwick,Burstwick Drain,1.27,"rgba(255, 0, 0)"
Kings Pond,51.150372,-0.96697,Alton,Wey,0.5,"rgba(255, 194, 0)"
Merestones Road,51.88594,-2.093645,Cheltenham,Hatherley Brook,0.32,"rgba(0, 204, 0)"
Levisham Station,54.308919,-0.746353,Newton-On-Rawcliffe,Pickering Beck,0.95,"rgba(255, 0, 0)"
Newport Pagnell (Cemetery),52.087826,-0.717093,Newport Pagnell,River Great Ouse,1.9,"rgba(255, 0, 0)"
Catford Hill,51.441442,-0.026869,Catford,Ravensbourne,1.475,"rgba(255, 0, 0)"
Bourton Grounds,51.991569,-0.939719,Bourton Grounds,Twin,0.726,"rgba(255, 194, 0)"
Brayford Pool,53.229862,-0.546842,Lincoln,Witham,0.66,"rgba(255, 194, 0)"
Sutton Courtenay,51.647821,-1.254167,Culham,Thames,3.51,"rgba(255, 0, 0)"
Kempsey Yacht Club,52.158602,-2.219449,Callow End,River Severn,5,"rgba(255, 0, 0)"
Udiam,50.991816,0.524378,Bodiam,River Rother,2.3,"rgba(255, 0, 0)"
New Jumbles Rock,53.833695,-2.453518,Hurst Green,Ribble,2.5,"rgba(255, 0, 0)"
"Edmonton, Silver Street",51.615727,-0.065253,Edmonton,Pymmes Brook,1.3,"rgba(255, 0, 0)"
Blackford Bridge,53.5659,-2.293017,Hollins,Roch,0.75,"rgba(255, 194, 0)"
Brant Broughton,53.080542,-0.614579,Brant Broughton,Brant,0.298,"rgba(0, 204, 0)"
Bolton Percy,53.863248,-1.192116,Bolton Percy,River Wharfe,5.922,"rgba(255, 0, 0)"
Goldbridge,50.975187,0.034071,Newick,Ouse [So],1.75,"rgba(255, 0, 0)"
Samlesbury,53.76911,-2.624715,Samlesbury,Ribble,4.83,"rgba(255, 0, 0)"
Rickmansworth,51.641989,-0.46125,Rickmansworth,Chess,0.3,"rgba(0, 204, 0)"
Lancaster Quay,54.051851,-2.822021,Lancaster,Lune,6.25,"rgba(255, 0, 0)"
Uxbridge,51.533611,-0.47115,Cowley,Pinn,0.7,"rgba(255, 194, 0)"
Newtown Bridge,51.076717,-3.866807,Charles,River Bray,1.5,"rgba(255, 0, 0)"
"Stanmore, Wolverton Road",51.610531,-0.313052,Stanmore,Edgware Brook,0.6,"rgba(255, 194, 0)"
Day Brook,52.986245,-1.163701,Nottingham,Day Brook,0.95,"rgba(255, 0, 0)"
Ramsbury Side,51.443821,-1.584692,Whittonditch,Aldbourne,0.316,"rgba(0, 204, 0)"
Netham Weir,51.451028,-2.55481,Bristol,River Avon,0.838,"rgba(255, 0, 0)"
Earls Colne,51.935709,0.697218,Colne Engaine,River Colne,1.14,"rgba(255, 0, 0)"
Liverpool Road,53.38377,-2.624305,Sankey,Sankey Brook,3.5,"rgba(255, 0, 0)"
Clifton Bridge,52.92478,-1.166968,West Bridgford,River Trent,2.9,"rgba(255, 0, 0)"
Pershore,52.10744,-2.07193,Pershore,River Avon,3.606,"rgba(255, 0, 0)"
Nunton Bridge,51.036427,-1.771751,Nunton,River Ebble,1.083,"rgba(255, 0, 0)"
Penberth,50.050669,-5.634771,Penberth,Penberth Stream,0.675,"rgba(255, 194, 0)"
Nunnykirk,55.232946,-1.893044,Nunnykirk,River Font,1.62,"rgba(255, 0, 0)"
Palmers Dam,50.390648,-3.72194,Harbertonford,River Harbourne,1.179,"rgba(255, 0, 0)"
Ashley,52.515233,-0.794532,Drayton,Welland (To Mkt.Harborough),2.08,"rgba(255, 0, 0)"
Catterick Village,54.374943,-1.633138,Catterick Village,Brough Beck,1,"rgba(255, 0, 0)"
Upton Hellions,50.820959,-3.65782,Upton Hellions,River Creedy,2,"rgba(255, 0, 0)"
Trekeivesteps,50.501243,-4.500737,Common Moor,River Fowey,1.5,"rgba(255, 0, 0)"
Went Outfall,53.660847,-0.99124,Went Green,River Went,2.428,"rgba(255, 0, 0)"
Field Mill,53.137597,-1.198884,Mansfield,River Maun,1.4,"rgba(255, 0, 0)"
Maidenhead,51.524146,-0.702103,Taplow,Thames,3.55,"rgba(255, 0, 0)"
New York,53.081293,-0.140778,New York,West Fen Catchwater,1.1,"rgba(255, 0, 0)"
Winsham,50.850029,-2.888672,Winsham,River Axe,2.1,"rgba(255, 0, 0)"
Sowerby Bridge,53.707881,-1.912089,Sowerby Bridge,River Calder,1.4,"rgba(255, 0, 0)"
Brampton Racecourse,52.330595,-0.227967,Brampton,Alconbury Brook,1.514,"rgba(255, 0, 0)"
Eathorpe,52.316208,-1.431466,Eathorpe,Leam,1.159,"rgba(255, 0, 0)"
Barden Lane,53.811466,-2.248409,Brierfield,Pendle Water,0.603,"rgba(255, 194, 0)"
Waterloo Road,53.870513,-2.388461,Clitheroe,Mearley Brook,1.53,"rgba(255, 0, 0)"
The Binghams,51.506197,-0.710164,Maidenhead,The Cut,1.71,"rgba(255, 0, 0)"
"Wiza Beck Storage Basin, Wigton",54.817425,-3.167142,Wigton,Wiza Beck,1,"rgba(255, 0, 0)"
Foxton Bridge,54.477707,-1.298736,Middleton-On-Leven,River Leven,1.5,"rgba(255, 0, 0)"
Sutton Gault,52.39784,0.093691,Sutton Gault,River Great Ouse,2.8,"rgba(255, 0, 0)"
Hexham,54.969163,-2.115677,Hexham,Cockshaw Burn,0.5,"rgba(255, 194, 0)"
Horley,51.173918,-0.18323,Horley,Mole,2.15,"rgba(255, 0, 0)"
Tinhay,50.647179,-4.267416,Lifton,River Thrushel,0.975,"rgba(255, 0, 0)"
Idmiston,51.137063,-1.72023,Idmiston,River Bourne,0.6,"rgba(255, 194, 0)"
Bacons End,52.484208,-1.731944,Marston Green,River Cole,0.385,"rgba(0, 204, 0)"
Redbourn River Red,51.793132,-0.396615,Redbourn,Red,0.65,"rgba(255, 194, 0)"
Hunsingore,53.971293,-1.349003,Hunsingore,River Nidd,0.85,"rgba(255, 0, 0)"
Esher,51.381714,-0.377493,Esher,Mole,4.02,"rgba(255, 0, 0)"
Ewelme,51.619653,-1.073786,Ewelme,Ewelme Brook,0.46,"rgba(0, 204, 0)"
Pointon Lode,52.867461,-0.333163,Pointon,Pointon Lode,0.56,"rgba(255, 194, 0)"
Fulling Mill,51.837638,-0.221289,Welwyn,Mimram,0.45,"rgba(0, 204, 0)"
Albury,51.210841,-0.504627,Albury,Law Brook,0.293,"rgba(0, 204, 0)"
Radcot Lock,51.699764,-1.573094,Radcot,Thames,0.324,"rgba(0, 204, 0)"
Hamerton,52.428112,-0.3542,Hamerton,Alconbury Brook,2.2,"rgba(255, 0, 0)"
Stokesley,54.468269,-1.194564,Stokesley,River Leven,1.62,"rgba(255, 0, 0)"
Midford,51.348874,-2.340892,Southstoke,Midford Brook,2.9,"rgba(255, 0, 0)"
Browns Bridge,50.981447,0.468833,Robertsbridge,Dudwell Tributary  Rother,1.4,"rgba(255, 0, 0)"
Burton Coggles,52.823395,-0.536693,Burton-Le-Coggles,West Glen (To Kates Bridge),0.98,"rgba(255, 0, 0)"
Hammoon,50.931417,-2.257544,Hammoon,River Stour,2.56,"rgba(255, 0, 0)"
Lilbourne,52.395138,-1.173153,Lilbourne,River Avon,0.659,"rgba(255, 194, 0)"
Byton,52.276841,-2.932709,Byton,Lugg,1.3,"rgba(255, 0, 0)"
Norwood,53.57333,-1.103688,Thorpe In Balne,Ea Beck,3.2,"rgba(255, 0, 0)"
South Newton,51.107453,-1.878102,South Newton,River Wylye,0.65,"rgba(255, 194, 0)"
Downside Bridge,51.323836,-0.41269,Stoke D'abernon,Mole,2.4,"rgba(255, 0, 0)"
Mitford,55.166194,-1.727617,Mitford,River Wansbeck,2,"rgba(255, 0, 0)"
Frisby on the Wreake,52.755673,-0.970755,Frisby on the Wreake,River Wreake,1.61,"rgba(255, 0, 0)"
North Bovey,50.639783,-3.787037,North Bovey,River Bovey,1,"rgba(255, 0, 0)"
St Leonards,54.507361,-3.525782,Cleator,Keekle,2.6,"rgba(255, 0, 0)"
Cirencester,51.724451,-1.972293,Stratton,Churn,0.7,"rgba(255, 194, 0)"
Helebridge,50.806416,-4.536465,Marhamchurch,River Neet,0.45,"rgba(0, 204, 0)"
Marsden,53.601624,-1.927299,Marsden,River Colne,0.531,"rgba(255, 194, 0)"
Trenowth,50.319157,-4.898882,Grampound Road,River Fal,1.5,"rgba(255, 0, 0)"
Normanby,54.229768,-0.872461,Normanby,River Seven,0.547,"rgba(255, 194, 0)"
Woodstock,51.864215,-1.356609,Wootton,Glyme,0.75,"rgba(255, 194, 0)"
Abbeystead Reservoir,53.978695,-2.677098,Abbeystead,Wyre,0.6,"rgba(255, 194, 0)"
Chetnole,50.873685,-2.566002,Chetnole,River Wriggle,1.1,"rgba(255, 0, 0)"
Wandle Park Side Channel,51.419659,-0.18127,Merton,Wandle,0.262,"rgba(0, 204, 0)"
Loughborough,52.765357,-1.214327,Loughborough,Wood Brook,0.5,"rgba(255, 194, 0)"
New Barnet,51.650298,-0.164059,Cockfosters,Pymmes Brook,0.9,"rgba(255, 0, 0)"
Honiton,50.796646,-3.183491,Honiton,Glen Stream,0.23,"rgba(0, 204, 0)"
Charlton Kings,51.885938,-2.052672,Cheltenham,Chelt,0.449,"rgba(0, 204, 0)"
Castle Farm,52.496238,-1.688419,Coleshill,River Blythe,1.275,"rgba(255, 0, 0)"
Romsey Botley Road,50.989153,-1.48518,Romsey,Tadburn Lake,0.76,"rgba(255, 194, 0)"
Chesham,51.702625,-0.614039,Chesham,Chess,0.6,"rgba(255, 194, 0)"
Cox's Meadow,51.890714,-2.066105,Cheltenham,Chelt,0.2,"rgba(0, 204, 0)"
Lowlands,54.619954,-1.792445,Cockfield,River Gaunless,0.65,"rgba(255, 194, 0)"
Caton,54.081344,-2.722026,Caton,Lune,3.6,"rgba(255, 0, 0)"
Cawood,53.833727,-1.12853,Cawood,River Ouse,6.1,"rgba(255, 0, 0)"
"Iver, Clisbys Bridge",51.529235,-0.488741,Cowley,Colne,0.7,"rgba(255, 194, 0)"
Lunes Bridge,54.420034,-2.599286,Tebay,Lune,1.352,"rgba(255, 0, 0)"
Crowford Bridge,50.766235,-4.425512,Whitstone,River Tamar,1.4,"rgba(255, 0, 0)"
Welches Dam,52.451684,0.163973,Welches Dam,Counter Drain,1.156,"rgba(255, 0, 0)"
Bucklebury,51.435635,-1.201665,Bucklebury,Pang,0.65,"rgba(255, 194, 0)"
Poulton Farm,51.427238,-1.724504,Marlborough,Og,0.857,"rgba(255, 0, 0)"
Tidmarsh,51.468325,-1.08539,Tidmarsh,Pang,1.56,"rgba(255, 0, 0)"
Stoneybridge,51.1339,-4.153117,Knowle,River Caen,0.65,"rgba(255, 194, 0)"
Tenbury (Kyre Brook),52.309779,-2.59384,Tenbury,Kyre Brook,2,"rgba(255, 0, 0)"
Shiplake Lock,51.501042,-0.886307,Lower Shiplake,Thames,0.317,"rgba(0, 204, 0)"
Ripon,54.133486,-1.537861,Ripon,River Laver,1.3,"rgba(255, 0, 0)"
South House,50.790604,-2.41643,White Lackington,River Piddle,0.63,"rgba(255, 194, 0)"
Cranford Park,51.488753,-0.412558,Cranford,Crane,0.72,"rgba(255, 194, 0)"
Woodleigh,50.973061,-3.909695,Chittlehamholt,River Mole,1.7,"rgba(255, 0, 0)"
Sharnford,52.522794,-1.29766,Sharnford,River Soar,1,"rgba(255, 0, 0)"
Leigh Flood Storage Area,51.194078,0.236345,Leigh,Medway,0.916,"rgba(255, 0, 0)"
Thompson park,53.79678,-2.234811,Burnley,Brun,0.945,"rgba(255, 0, 0)"
Castle Rising,52.798728,0.490559,Castle Rising,Babingley,0.292,"rgba(0, 204, 0)"
Otford,51.304292,0.18632,Otford,Darent,0.7,"rgba(255, 194, 0)"
Pooley Bridge,54.616994,-2.818572,Pooley Bridge,River Eamont,0.922,"rgba(255, 0, 0)"
Staines Ash,51.440376,-0.512035,Staines,Ash (Surrey),0.25,"rgba(0, 204, 0)"
Briggswath,54.462097,-0.654478,Briggswath,River Esk,0.95,"rgba(255, 0, 0)"
Thorverton,50.80427,-3.511305,Thorverton,River Exe,1.3,"rgba(255, 0, 0)"
Billinghay,53.077892,-0.274288,Billinghay,Billinghay Skirth,2.29,"rgba(255, 0, 0)"
"Harrow, Thistledene Avenue",51.561936,-0.379325,Northolt,The Roxbourne,0.7,"rgba(255, 194, 0)"
Waddon Ponds,51.371312,-0.120688,Beddington,Wandle,0.22,"rgba(0, 204, 0)"
Fosse Bridge,51.799654,-1.885239,Fossebridge,Coln,0.28,"rgba(0, 204, 0)"
Sherborne Lake,50.947873,-2.503101,Sherborne,River Yeo,0.2,"rgba(0, 204, 0)"
Kidderminster,52.388952,-2.250478,Kidderminster,River Stour,1.6,"rgba(255, 0, 0)"
Graylingwell,50.851113,-0.764553,Graylingwell,Lavant,0.25,"rgba(0, 204, 0)"
Cambridge Byron's Pool,52.171412,0.099158,Grantchester,River Rhee,0.645,"rgba(255, 194, 0)"
Bibury,51.754535,-1.825522,Bibury,Coln,0.4,"rgba(0, 204, 0)"
Meanwood,53.827584,-1.570463,Leeds,Meanwood Beck,0.385,"rgba(0, 204, 0)"
Harpenden,51.830547,-0.347917,Harpenden,Lee (Upper),1.12,"rgba(255, 0, 0)"
Appleby,54.579959,-2.491631,Appleby-In-Westmorland,Eden,1.8,"rgba(255, 0, 0)"
Kenton Lane,51.587068,-0.307266,Kenton,Wealdstone Brook,0.75,"rgba(255, 194, 0)"
Borough Bridge weir,51.087739,-1.189248,Itchen Stoke,Candover Stream,0.5,"rgba(255, 194, 0)"
Ebbesbourne Wake,51.018287,-2.011504,Ebbesbourne Wake,River Ebble,0.611,"rgba(255, 194, 0)"
Derby City,52.92726,-1.475443,Derby,River Derwent,2,"rgba(255, 0, 0)"
Saltersford,52.890978,-0.62509,Little Ponton,Witham,0.7,"rgba(255, 194, 0)"
Saxons Lode,52.049661,-2.200744,Naunton,River Severn,4,"rgba(255, 0, 0)"
Feckenham,52.248746,-1.994455,Feckenham,Bow Brook,1.25,"rgba(255, 0, 0)"
Bedburn,54.6847,-1.818483,Hamsterley,Bedburn Beck,1.05,"rgba(255, 0, 0)"
Watton at Stone,51.861312,-0.11775,Watton At Stone,Beane,1.2,"rgba(255, 0, 0)"
North Hykeham,53.176218,-0.5711,North Hykeham,Witham,2.11,"rgba(255, 0, 0)"
South Street Footbridge,54.662671,-3.361333,Cockermouth,Cocker,1.5,"rgba(255, 0, 0)"
Hayne Bridge,50.658035,-4.241876,Lifton,River Thrushel,2,"rgba(255, 0, 0)"
Rotherham,53.425334,-1.36339,Rotherham,River Don,1.8,"rgba(255, 0, 0)"
Wingfield Park,53.072731,-1.441438,Ripley,River Amber,2,"rgba(255, 0, 0)"
Covington,52.314257,-0.444982,Covington,River Kym,0.7,"rgba(255, 194, 0)"
Bosbury,52.08804,-2.446839,Bosbury,River Leadon,0.8,"rgba(255, 0, 0)"
Soham Lode,52.364009,0.2603,Little Thetford,River Great Ouse,1.744,"rgba(255, 0, 0)"
Flixton Bridge,53.439969,-2.388645,Flixton,Mersey,3.3,"rgba(255, 0, 0)"
Skipton Morrisons,53.959571,-2.022817,Skipton,Eller Beck,1.1,"rgba(255, 0, 0)"
"Stansted Mountfitchet, Gypsy Lane",51.89464,0.186331,Stansted Mountfitchet,Stansted Brook,0.67,"rgba(255, 194, 0)"
Littlebourne,51.273726,1.168504,Littlebourne,Little Stour Trib  Great Stour,0.176,"rgba(0, 204, 0)"
Chalgrove,51.663282,-1.075268,Chalgrove,Chalgrove Brook,1.75,"rgba(255, 0, 0)"
Great Somerford,51.547559,-2.049871,Great Somerford,River Avon,0.7,"rgba(255, 194, 0)"
Teddington Lock,51.429566,-0.318416,Teddington,Thames,0.217,"rgba(0, 204, 0)"
Northmoor Drain,51.073454,-2.964814,Northmoor Green,Northmoor Main Drain,3.42,"rgba(255, 0, 0)"
Hurley Lock,51.55135,-0.808421,Hurley,Thames,2.184,"rgba(255, 0, 0)"
"Harlow, Elizabeth way",51.773908,0.073644,Harlow,Canons Brook,1.4,"rgba(255, 0, 0)"
Ponsanooth,50.196411,-5.136703,Ponsanooth,Kennal,0.49,"rgba(0, 204, 0)"
Harford,50.421783,-3.918076,Harford,River Erme,1.5,"rgba(255, 0, 0)"
Bell Weir,51.438166,-0.537257,Hythe End,Thames,0.273,"rgba(0, 204, 0)"
Gwills,50.393206,-5.056217,Gwills,River Gannel,0.746,"rgba(255, 194, 0)"
Yorkshire Bridge,53.362304,-1.703631,Thornhill,River Derwent,1.6,"rgba(255, 0, 0)"
