Station,Lat,Long,Town,River,High Level,Color
Denham Colne,51.56631,-0.483905,Denham,Colne,0.4,"rgba(0, 204, 0)"
Lenton,52.948176,-1.183337,Lenton,River Leen,1,"rgba(255, 0, 0)"
Worcester (Barbourne),52.206967,-2.235272,Worcester,River Severn,3.35,"rgba(255, 0, 0)"
Allen Mill Bridge,54.904713,-2.265082,Allendale Town,River East Allen,1.8,"rgba(255, 0, 0)"
Scotter,53.498488,-0.664311,Scotter,River Eau,1.75,"rgba(255, 0, 0)"
Eamont Bridge Farm,54.651055,-2.743236,Eamont Bridge,River Eamont,1.7,"rgba(255, 0, 0)"
Harford Hill,52.255374,-2.193909,Salwarpe,River Salwarpe,2,"rgba(255, 0, 0)"
Far Sawrey,54.352722,-2.940028,Mitchell Wyke Ferry Bay,Lake Windermere,0.993,"rgba(255, 0, 0)"
Skip Bridge,53.998678,-1.266199,Kirk Hammerton,River Nidd,2.36,"rgba(255, 0, 0)"
St Michaels,53.863761,-2.817872,St Michael's On Wyre,Wyre,4.725,"rgba(255, 0, 0)"
Laverstock,51.072524,-1.77754,Laverstock,River Bourne,0.568,"rgba(255, 194, 0)"
Chingford,51.619051,0.008836,Chingford,Ching Brook,0.75,"rgba(255, 194, 0)"
Bridge Trafford,53.234132,-2.827991,Bridge Trafford,Gowy,1,"rgba(255, 0, 0)"
Loddiswell,50.31395,-3.800717,Loddiswell,River Avon,1.8,"rgba(255, 0, 0)"
Freshfield Bridge,51.002867,-0.027718,Scayne's Hill,Ouse [So],2,"rgba(255, 0, 0)"
Killamarsh,53.326718,-1.328824,Killamarsh,River Rother,1.48,"rgba(255, 0, 0)"
"Stains, Pounds Mill",51.43615,-0.514892,Staines,Wraysbury River,1.3,"rgba(255, 0, 0)"
Ravenstone Mill Sluice,52.129553,-0.753104,Filgrave,River Great Ouse,1.865,"rgba(255, 0, 0)"
Trowbridge,51.31742,-2.206553,Trowbridge,River Biss,1.4,"rgba(255, 0, 0)"
Caker Stream,51.140148,-0.959908,Alton,Caker Stream,0.52,"rgba(255, 194, 0)"
Islip Sluice,52.401841,-0.5448,Islip,Nene (Wollaston-Wansford),1.845,"rgba(255, 0, 0)"
Aldington Upstream,51.105167,0.948046,Aldington,East Stour Trib  Great Stour,1.732,"rgba(255, 0, 0)"
Abingdon Peachcroft,51.683092,-1.268125,Abingdon,Ock,1.5,"rgba(255, 0, 0)"
Colesbrook,51.049578,-2.276018,Milton On Stour,Shreen Water,0.75,"rgba(255, 194, 0)"
Mansfield The Dykes,53.166753,-1.164236,Mansfield,River Maun,1,"rgba(255, 0, 0)"
Withy Bridge,50.752006,-3.454461,Broadclyst,River Clyst,0.762,"rgba(255, 194, 0)"
Bransford,52.177055,-2.28833,Bransford,River Teme,4.4,"rgba(255, 0, 0)"
Dodford,52.240918,-1.083171,Dodford,Nene - Whitton Branch,1.18,"rgba(255, 0, 0)"
Wharf Mill,51.0582,-1.308338,Winchester,Itchen,0.81,"rgba(255, 0, 0)"
St Erth,50.156881,-5.432918,St Erth,River Hayle,0.8,"rgba(255, 0, 0)"
