Station,Lat,Long,Town,River,Water Level
Levisham Station,54.308919,-0.746353,Newton-On-Rawcliffe,Pickering Beck,0.458
Newport Pagnell (Cemetery),52.087826,-0.717093,Newport Pagnell,River Great Ouse,0.481
Catford Hill,51.441442,-0.026869,Catford,Ravensbourne,0.207
Bourton Grounds,51.991569,-0.939719,Bourton Grounds,Twin,0.317
Brayford Pool,53.229862,-0.546842,Lincoln,Witham,0.302
Sutton Courtenay,51.647821,-1.254167,Culham,Thames,2.184
Kempsey Yacht Club,52.158602,-2.219449,Callow End,River Severn,2.63
Udiam,50.991816,0.524378,Bodiam,River Rother,1.361
New Jumbles Rock,53.833695,-2.453518,Hurst Green,Ribble,0.974
"Edmonton, Silver Street",51.615727,-0.065253,Edmonton,Pymmes Brook,0.248
Blackford Bridge,53.5659,-2.293017,Hollins,Roch,0.469
Brant Broughton,53.080542,-0.614579,Brant Broughton,Brant,0.192
Bolton Percy,53.863248,-1.192116,Bolton Percy,River Wharfe,5.095
Goldbridge,50.975187,0.034071,Newick,Ouse [So],0.817
Samlesbury,53.76911,-2.624715,Samlesbury,Ribble,2.233
Rickmansworth,51.641989,-0.46125,Rickmansworth,Chess,0.085
Lancaster Quay,54.051851,-2.822021,Lancaster,Lune,2.096
Uxbridge,51.533611,-0.47115,Cowley,Pinn,0.374
Newtown Bridge,51.076717,-3.866807,Charles,River Bray,0.642
"Stanmore, Wolverton Road",51.610531,-0.313052,Stanmore,Edgware Brook,0.44
Day Brook,52.986245,-1.163701,Nottingham,Day Brook,0.072
Ramsbury Side,51.443821,-1.584692,Whittonditch,Aldbourne,
Netham Weir,51.451028,-2.55481,Bristol,River Avon,0.484
Earls Colne,51.935709,0.697218,Colne Engaine,River Colne,0.243
Liverpool Road,53.38377,-2.624305,Sankey,Sankey Brook,2.173
Clifton Bridge,52.92478,-1.166968,West Bridgford,River Trent,1.492
Pershore,52.10744,-2.07193,Pershore,River Avon,3.447
Nunton Bridge,51.036427,-1.771751,Nunton,River Ebble,0.776
Penberth,50.050669,-5.634771,Penberth,Penberth Stream,0.276
Nunnykirk,55.232946,-1.893044,Nunnykirk,River Font,0.523
Palmers Dam,50.390648,-3.72194,Harbertonford,River Harbourne,0.566
Ashley,52.515233,-0.794532,Drayton,Welland (To Mkt.Harborough),0.238
Catterick Village,54.374943,-1.633138,Catterick Village,Brough Beck,0.4
Upton Hellions,50.820959,-3.65782,Upton Hellions,River Creedy,0.372
Trekeivesteps,50.501243,-4.500737,Common Moor,River Fowey,0.489
Went Outfall,53.660847,-0.99124,Went Green,River Went,2.018
Field Mill,53.137597,-1.198884,Mansfield,River Maun,0.708
Maidenhead,51.524146,-0.702103,Taplow,Thames,2.473
New York,53.081293,-0.140778,New York,West Fen Catchwater,0.396
Winsham,50.850029,-2.888672,Winsham,River Axe,1
Sowerby Bridge,53.707881,-1.912089,Sowerby Bridge,River Calder,0.282
Brampton Racecourse,52.330595,-0.227967,Brampton,Alconbury Brook,0.346
Eathorpe,52.316208,-1.431466,Eathorpe,Leam,0.728
Barden Lane,53.811466,-2.248409,Brierfield,Pendle Water,0.604
Waterloo Road,53.870513,-2.388461,Clitheroe,Mearley Brook,0.281
The Binghams,51.506197,-0.710164,Maidenhead,The Cut,1.146
"Wiza Beck Storage Basin, Wigton",54.817425,-3.167142,Wigton,Wiza Beck,0.273
Foxton Bridge,54.477707,-1.298736,Middleton-On-Leven,River Leven,0.432
Sutton Gault,52.39784,0.093691,Sutton Gault,River Great Ouse,1.894
Hexham,54.969163,-2.115677,Hexham,Cockshaw Burn,0.228
Horley,51.173918,-0.18323,Horley,Mole,1.93
Tinhay,50.647179,-4.267416,Lifton,River Thrushel,0.468
Idmiston,51.137063,-1.72023,Idmiston,River Bourne,0.069
Bacons End,52.484208,-1.731944,Marston Green,River Cole,0.228
Redbourn River Red,51.793132,-0.396615,Redbourn,Red,0.044
Hunsingore,53.971293,-1.349003,Hunsingore,River Nidd,0.469
Esher,51.381714,-0.377493,Esher,Mole,1.458
Ewelme,51.619653,-1.073786,Ewelme,Ewelme Brook,0.043
Pointon Lode,52.867461,-0.333163,Pointon,Pointon Lode,0.06
Fulling Mill,51.837638,-0.221289,Welwyn,Mimram,0.061
Albury,51.210841,-0.504627,Albury,Law Brook,0.089
Radcot Lock,51.699764,-1.573094,Radcot,Thames,0.057
Hamerton,52.428112,-0.3542,Hamerton,Alconbury Brook,1.258
Stokesley,54.468269,-1.194564,Stokesley,River Leven,0.1
Midford,51.348874,-2.340892,Southstoke,Midford Brook,1.148
Browns Bridge,50.981447,0.468833,Robertsbridge,Dudwell Tributary  Rother,0.779
Burton Coggles,52.823395,-0.536693,Burton-Le-Coggles,West Glen (To Kates Bridge),0.126
Hammoon,50.931417,-2.257544,Hammoon,River Stour,0.415
Lilbourne,52.395138,-1.173153,Lilbourne,River Avon,0.263
Byton,52.276841,-2.932709,Byton,Lugg,0.774
Norwood,53.57333,-1.103688,Thorpe In Balne,Ea Beck,0.568
South Newton,51.107453,-1.878102,South Newton,River Wylye,0.321
Downside Bridge,51.323836,-0.41269,Stoke D'abernon,Mole,2.081
Mitford,55.166194,-1.727617,Mitford,River Wansbeck,1.003
Frisby on the Wreake,52.755673,-0.970755,Frisby on the Wreake,River Wreake,
North Bovey,50.639783,-3.787037,North Bovey,River Bovey,0.179
St Leonards,54.507361,-3.525782,Cleator,Keekle,0.625
Cirencester,51.724451,-1.972293,Stratton,Churn,0.354
Helebridge,50.806416,-4.536465,Marhamchurch,River Neet,0.188
Marsden,53.601624,-1.927299,Marsden,River Colne,0.611
Trenowth,50.319157,-4.898882,Grampound Road,River Fal,0.362
Normanby,54.229768,-0.872461,Normanby,River Seven,0.51
Woodstock,51.864215,-1.356609,Wootton,Glyme,0.22
Abbeystead Reservoir,53.978695,-2.677098,Abbeystead,Wyre,0.123
Chetnole,50.873685,-2.566002,Chetnole,River Wriggle,0.231
Wandle Park Side Channel,51.419659,-0.18127,Merton,Wandle,0.071
Loughborough,52.765357,-1.214327,Loughborough,Wood Brook,0.103
New Barnet,51.650298,-0.164059,Cockfosters,Pymmes Brook,0.166
Honiton,50.796646,-3.183491,Honiton,Glen Stream,0.153
Charlton Kings,51.885938,-2.052672,Cheltenham,Chelt,0.404
Castle Farm,52.496238,-1.688419,Coleshill,River Blythe,0.744
Romsey Botley Road,50.989153,-1.48518,Romsey,Tadburn Lake,0.372
Chesham,51.702625,-0.614039,Chesham,Chess,0.23
Cox's Meadow,51.890714,-2.066105,Cheltenham,Chelt,-0.069
Lowlands,54.619954,-1.792445,Cockfield,River Gaunless,0.176
Caton,54.081344,-2.722026,Caton,Lune,1.204
Cawood,53.833727,-1.12853,Cawood,River Ouse,5.329
"Iver, Clisbys Bridge",51.529235,-0.488741,Cowley,Colne,0.475
Lunes Bridge,54.420034,-2.599286,Tebay,Lune,0.992
Crowford Bridge,50.766235,-4.425512,Whitstone,River Tamar,0.466
Welches Dam,52.451684,0.163973,Welches Dam,Counter Drain,0.921
Bucklebury,51.435635,-1.201665,Bucklebury,Pang,0.158
Poulton Farm,51.427238,-1.724504,Marlborough,Og,0.198
Tidmarsh,51.468325,-1.08539,Tidmarsh,Pang,1.196
Stoneybridge,51.1339,-4.153117,Knowle,River Caen,0.148
Tenbury (Kyre Brook),52.309779,-2.59384,Tenbury,Kyre Brook,0.434
Shiplake Lock,51.501042,-0.886307,Lower Shiplake,Thames,0.1
Ripon,54.133486,-1.537861,Ripon,River Laver,0.261
South House,50.790604,-2.41643,White Lackington,River Piddle,0.154
Cranford Park,51.488753,-0.412558,Cranford,Crane,0.264
Woodleigh,50.973061,-3.909695,Chittlehamholt,River Mole,0.848
Sharnford,52.522794,-1.29766,Sharnford,River Soar,0.354
Leigh Flood Storage Area,51.194078,0.236345,Leigh,Medway,0.808
Thompson park,53.79678,-2.234811,Burnley,Brun,0.491
Castle Rising,52.798728,0.490559,Castle Rising,Babingley,0.192
Otford,51.304292,0.18632,Otford,Darent,0.32
Pooley Bridge,54.616994,-2.818572,Pooley Bridge,River Eamont,0.941
Staines Ash,51.440376,-0.512035,Staines,Ash (Surrey),0.069
Briggswath,54.462097,-0.654478,Briggswath,River Esk,0.697
Thorverton,50.80427,-3.511305,Thorverton,River Exe,0.633
Billinghay,53.077892,-0.274288,Billinghay,Billinghay Skirth,0.377
"Harrow, Thistledene Avenue",51.561936,-0.379325,Northolt,The Roxbourne,0.085
Waddon Ponds,51.371312,-0.120688,Beddington,Wandle,0.044
Fosse Bridge,51.799654,-1.885239,Fossebridge,Coln,0.108
Sherborne Lake,50.947873,-2.503101,Sherborne,River Yeo,0.151
Kidderminster,52.388952,-2.250478,Kidderminster,River Stour,1.221
Graylingwell,50.851113,-0.764553,Graylingwell,Lavant,-0.158
Cambridge Byron's Pool,52.171412,0.099158,Grantchester,River Rhee,0.388
Bibury,51.754535,-1.825522,Bibury,Coln,0.167
Meanwood,53.827584,-1.570463,Leeds,Meanwood Beck,0.28
Harpenden,51.830547,-0.347917,Harpenden,Lee (Upper),0.832
Appleby,54.579959,-2.491631,Appleby-In-Westmorland,Eden,0.723
Kenton Lane,51.587068,-0.307266,Kenton,Wealdstone Brook,0.569
Borough Bridge weir,51.087739,-1.189248,Itchen Stoke,Candover Stream,0.237
Ebbesbourne Wake,51.018287,-2.011504,Ebbesbourne Wake,River Ebble,0.136
Derby City,52.92726,-1.475443,Derby,River Derwent,1.095
Saltersford,52.890978,-0.62509,Little Ponton,Witham,0.335
Saxons Lode,52.049661,-2.200744,Naunton,River Severn,1.464
Feckenham,52.248746,-1.994455,Feckenham,Bow Brook,0.118
Bedburn,54.6847,-1.818483,Hamsterley,Bedburn Beck,0.425
Watton at Stone,51.861312,-0.11775,Watton At Stone,Beane,0.352
North Hykeham,53.176218,-0.5711,North Hykeham,Witham,0.312
South Street Footbridge,54.662671,-3.361333,Cockermouth,Cocker,1.488
Hayne Bridge,50.658035,-4.241876,Lifton,River Thrushel,0.438
Rotherham,53.425334,-1.36339,Rotherham,River Don,0.38
Wingfield Park,53.072731,-1.441438,Ripley,River Amber,1.16
Covington,52.314257,-0.444982,Covington,River Kym,0.24
Bosbury,52.08804,-2.446839,Bosbury,River Leadon,0.072
Soham Lode,52.364009,0.2603,Little Thetford,River Great Ouse,1.608
Flixton Bridge,53.439969,-2.388645,Flixton,Mersey,1.253
Skipton Morrisons,53.959571,-2.022817,Skipton,Eller Beck,0.335
"Stansted Mountfitchet, Gypsy Lane",51.89464,0.186331,Stansted Mountfitchet,Stansted Brook,0.119
Littlebourne,51.273726,1.168504,Littlebourne,Little Stour Trib  Great Stour,0.024
Chalgrove,51.663282,-1.075268,Chalgrove,Chalgrove Brook,1.301
Great Somerford,51.547559,-2.049871,Great Somerford,River Avon,0.427
Teddington Lock,51.429566,-0.318416,Teddington,Thames,0.213
Northmoor Drain,51.073454,-2.964814,Northmoor Green,Northmoor Main Drain,3.096
Hurley Lock,51.55135,-0.808421,Hurley,Thames,0.193
"Harlow, Elizabeth way",51.773908,0.073644,Harlow,Canons Brook,0.268
Ponsanooth,50.196411,-5.136703,Ponsanooth,Kennal,0.148
Harford,50.421783,-3.918076,Harford,River Erme,0.674
Bell Weir,51.438166,-0.537257,Hythe End,Thames,0.246
Gwills,50.393206,-5.056217,Gwills,River Gannel,0.176
Yorkshire Bridge,53.362304,-1.703631,Thornhill,River Derwent,0.841
Ouse Bridge,54.677997,-3.24495,Dubwath,Derwent,1.961
Redhill,51.239844,-0.166451,Redhill,Redhill Brook,0.693
Ramsbottom Weir,53.650068,-2.31342,Ramsbottom,Irwell,0.686
Six Arches,53.937868,-2.770317,Scorton,Wyre,0.502
St Johns Weir,51.580872,-2.094819,Malmesbury,Sherston Avon,0.266
Kirkby On Bain,53.144196,-0.140051,Kirkby On Bain,River Bain,0.261
Sharpness,51.717437,-2.482837,Newtown,River Severn,0.649
Hardman Way,53.69442,-2.466407,Darwen,Darwen,0.15
Wharncliffe Side,53.445208,-1.549184,Sheffield,River Don,1.202
Lamarsh,51.987468,0.752212,Lamarsh,River Stour,0.529
Ilchester,51.003358,-2.683234,Ilchester,River Yeo,0.189
Budleigh Brook,50.656145,-3.324921,East Budleigh,Budleigh Brook,0.514
Gipton South Parkway,53.812894,-1.481054,Leeds,Wyke Beck,0.112
Cox's Flume,51.889683,-2.062296,Cheltenham,Chelt,0.419
Brooklands,51.346115,-0.465049,Byfleet,Wey,1.173
"Harrow, Village Way",51.57755,-0.380271,North Harrow,Yeading Brook,0.289
Keighley,53.864265,-1.904159,Keighley,River Worth,0.569
Reedham,52.559314,1.570041,Reedham,River Yare,0.766
Offenham,52.100775,-1.910164,Aldington,Badsey Brook,0.273
Chalford,51.723887,-2.130978,Stroud,Frome (MI),0.198
West Ayton,54.251128,-0.484316,East Ayton,River Derwent,0.38
Charmouth,50.739791,-2.891657,Charmouth,River Char,0.511
Littleborough,53.645347,-2.092047,Littleborough,Roch,0.385
"Hemel Hempstead, Bury Mill,",51.757619,-0.475391,Hemel Hempstead,Gade,0.144
Polson Bridge,50.640271,-4.330759,Liftondown,River Tamar,0.76
Calthorpe Park,52.460104,-1.897221,Edgbaston,River Rea,0.205
Penshurst,51.172608,0.173074,Penshurst,Eden Tributary  Medway,1.148
St Neots,52.242947,-0.263656,St Neots,River Great Ouse,0.855
Farnham,51.209424,-0.803594,Farnham,Wey,0.341
Thacka Beck Reservoir,54.668303,-2.76746,"Townhead, Penrith",Thacka Beck,0.254
Norley Bridge,50.779388,-4.127794,Northlew,River North Lew,0.391
Ordsall,53.308371,-0.942655,Ordsall,River Idle,0.328
Bedford Road Sluice,52.229163,-0.868182,Great Houghton,Nene (N'hampton-Wollaston),0.979
Frenchay,51.492586,-2.523813,Hambrook,Bristol Frome,0.88
Westwick Weir,54.098062,-1.457119,Skelton On Ure,River Ure,0.867
Church Stretton,52.5405,-2.801605,Church Stretton,Ash Brook,0.211
Higham Avenue,53.407175,-2.608928,Dallam,Sankey Brook,1.105
Selby Westmill,53.786072,-1.066528,Selby,River Ouse,4.088
Upper Pound,51.998663,-2.155508,Tewkesbury,River Avon,2.222
Bywell,54.94992,-1.940633,Bywell,River Tyne,1.596
Woodyates,50.974908,-1.978577,Woodyates,Groundwater level,91.6
Morpeth,55.167634,-1.6945,Morpeth,Wansbeck,24.476
Isleham,52.357278,0.418569,Isleham,Lark,2.055
Dore Twenty Well Lane,53.326618,-1.516187,Dore,River Sheaf,0.423
Hayes Basin,52.735118,-2.960681,Alberbury,Field Drain,0.98
Trengoffe,50.477206,-4.595304,Mount,Warleggan River,0.367
Yeoford,50.775566,-3.718339,Yeoford,River Yeo,0.348
Fishlake,53.61394,-0.990666,Fishlake,River Don,2.161
Summerstown,51.428571,-0.187677,Merton,Wandle,1.127
Bissoe,50.229401,-5.120933,Bissoe,Carnon River,0.514
Stony Stratford,52.053714,-0.855119,Stony Stratford,River Great Ouse,0.182
Magpie Hall Lane,51.385199,0.047688,Hayes,Ravensbourne,0.961
Brompton,54.363181,-1.418526,Brompton,Brompton Beck,0.325
Ashbrook,53.165868,-2.494907,Wimboldsley Green,Weaver,1.163
Dewsbury,53.688481,-1.634418,Dewsbury,River Calder,1.598
Sulham,51.462237,-1.077263,Sulham,Sulham Brook,0.133
Lilford,52.442977,-0.492641,Pilton,Nene (Wollaston-Wansford),0.431
Hebden Bridge,53.741165,-2.027245,Hebden Bridge,River Calder,0.447
Millbrook,50.919652,-1.447963,Millbrook,Tanners Brook,0.14
Little Hadham,51.884165,0.09127,Little Hadham,Ash (Hertfordshire),-0.019
Oakley Cross Beck,54.62791,-1.7258,West Auckland,Oakley Cross Beck,0.332
Pinkhill Lock,51.761748,-1.362413,Farmoor,Thames,0.213
Hexham Tanners Row upstream,54.973701,-2.105879,Hexham,Cockshaw Burn,0.844
Salisbury Bourne,51.062826,-1.779755,Salisbury,River Bourne,0.875
Church Wilne,52.880685,-1.346428,Shardlow,River Derwent,1.218
Union Bridge,50.529998,-3.614031,Newton Abbot,River Lemon,0.159
Market Rasen,53.38885,-0.330909,Market Rasen,Rase,0.167
Twyford,51.484806,-0.880942,Charvil,Loddon,1.623
Red Rock,53.583885,-2.637387,Red Rock,Douglas,0.401
Melton Park,52.762225,-0.889833,Melton Mowbray,River Wreake,0.956
Collingham,53.912329,-1.418426,Collingham,River Wharfe,1.476
High Street West,53.445001,-1.964573,Glossop,Glossop Brook,0.222
Melford,52.412682,0.762195,Thetford,Thet,0.356
"White House Gardens, Penrith",54.661143,-2.747001,"White House Gardens, Penrith",Thacka Beck,0.44
Chulmleigh,50.907767,-3.863651,Chulmleigh,Little Dart,0.677
Colston Bassett,52.896019,-0.962231,Colston Bassett,River Smite,0.651
Stokesley Upstream,54.473986,-1.173419,Stokesley,River Leven,1.185
Minsterworth,51.850206,-2.336612,Minsterworth,River Severn,2.573
Compton Dando,51.380436,-2.506812,Compton Dando,Chew River,0.796
Bargate Weir,53.213742,-0.55188,Boultham,Witham,0.137
Perlethorpe,53.233981,-1.032134,Perlethorpe,River Meden,0.242
Norton Bavant,51.1839,-2.132143,Norton Bavant,River Wylye,0.216
Hawley,51.423959,0.230865,Hawley,Darent,0.158
Wokingham,51.40345,-0.836924,Wokingham,Emm Brook,0.502
Trews Weir,50.716251,-3.527368,Exeter,River Exe,3.471
Truro,50.264906,-5.060481,Truro,River Kenwyn,0.314
Saltaire,53.840066,-1.789021,Saltaire,River Aire,0.746
Buxted,50.989265,0.127308,Buxted,Uck,0.921
Bradbury,54.650589,-1.508677,Bradbury,River Skerne,0.258
Romney Lock,51.491873,-0.604104,Eton,Thames,0.226
Offord,52.27627,-0.223832,Offord Cluny,River Great Ouse,0.457
Appley Bridge,53.577223,-2.72144,Appley Bridge,Douglas,0.876
Sheepbridge Weir Mill Stream,51.381826,-0.966655,Swallowfield,Loddon,0.298
Heyford Bridge,51.920573,-1.306366,Steeple Aston,Cherwell,0.561
Thirlmere Reservoir (Spillway level = 16.55m),54.561659,-3.068796,Thirlmere Reservoir,Thirlmere Reservoir,14.48
Lower Arncott,51.861059,-1.119228,Lower Arncott,Ray(Oxon),0.631
Cranwell Line Sluice,53.00001,-0.427906,Sleaford,Slea,0.089
Sidmouth,50.682142,-3.235982,Sidmouth,River Sid,0.063
Launceston,50.641712,-4.362839,Launceston,Kensey,0.275
Stonebridge,51.132785,0.453941,Horsmonden,Teise,0.71
Copley,54.62006,-1.868327,Copley,River Gaunless,0.164
Summerford Bridge,51.107299,0.139866,Withyham,Medway,0.903
Foss Barrier,53.952443,-1.078056,York,River Ouse,6.846
Caversham Lock,51.460811,-0.963635,Reading,Thames,0.193
Ashbourne,53.013888,-1.738962,Ashbourne,Henmore Brook,0.406
Montford,52.724474,-2.872198,Montford,River Severn,3.374
Wakefield Oakenshaw,53.668661,-1.472656,Wakefield,Oakenshaw Beck,0.021
Udford,54.667313,-2.659359,Edenhall,River Eamont,0.843
Ardingly,51.038151,-0.100109,Ardingly,Shell Brook,0.093
Bingley,53.85124,-1.842838,Catcliffe Drain,River Aire,0.507
Chestnut Road,53.494067,-2.375559,Alder Forest,Worsley Brook,0.124
Mole Mills,51.016893,-3.822486,South Molton,River Mole,0.243
Sandford-on-Thames,51.708312,-1.232825,Sandford-on-Thames,Thames,0.157
Sutton Bridge,52.298087,-2.55805,Tenbury,Kyre Brook,0.724
Stone Road Farm,52.669401,0.995655,Clint Green,River Tud,0.309
Earby New Cut,53.914547,-2.144584,Earby,Earby Beck,0.367
Writtle,51.727462,0.441028,Widford,River Wid,0.222
Rodbourne,51.554844,-2.092255,Rodbourne,Gauze Brook,0.196
Kedington,52.077093,0.491629,Sturmer,River Stour,0.242
Romford,51.583879,0.172001,Romford,Rom/Beam,0.462
Revesby,53.125717,-0.052667,Revesby,West Fen Catchwater,0.276
Torrington,50.946265,-4.137186,Great Torrington,River Torridge,1.196
Pinxton,53.0832,-1.32769,Pinxton,River Erewash,0.209
"Uxbridge, Philpots Bridge",51.517498,-0.476763,Yiewsley,Pinn,1.131
Poole Street,51.997863,0.578311,Castle Hedingham,River Colne,0.266
Meerut Road,50.824241,-1.576864,Balmerlawn,Lymington,0.123
Colne Bridge,53.67527,-1.738074,Huddersfield,River Colne,0.74
Kates Bridge,52.720446,-0.363945,Baston,River Glen,0.208
Matlock,53.124099,-1.557929,Matlock Bath,River Derwent,1.28
Carry Bridge,53.854769,-2.158987,Colne,Colne Water,0.532
Richmond Lownthwaite Bridge,54.401122,-1.776606,Hudswell,River Swale,0.54
Bubwith Bridge,53.819066,-0.927565,Bubwith,River Derwent,3.839
"Pinner, Moss Close",51.598796,-0.376829,Pinner,Pinn,0.298
Worcester Road,51.375687,-0.264339,Tolworth,Hogsmill,1.233
Brent Cross,51.577539,-0.217549,Golders Green,Brent,0.365
"Brent, Monks park",51.551558,-0.267837,Willesden,Brent,0.38
Allerton Ings,53.740078,-1.366226,Leeds,Aire Washlands,0.068
Hanwell,51.508638,-0.342569,Norwood Green,Brent,1.337
South Wigston,52.573856,-1.13453,South Wigston,River Sence (Soar),0.898
Brown Howe,54.307391,-3.091306,Coniston,Coniston Water,1.283
Duston Mill,52.227978,-0.934098,Duston,Wootton Brook,0.688
Puslinch,50.34269,-4.005399,Yealmpton,River Yealm,0.503
Worksop,53.309224,-1.138194,Worksop,River Ryton,0.36
Winster Drive,53.384181,-2.825909,Netherley,Netherley Brook,0.532
Olney,52.147499,-0.708027,Olney,River Great Ouse,0.23
Yarm,54.512373,-1.355879,Yarm,River Tees,0.54
Kettlewell,54.143807,-2.050474,Kettlewell,River Wharfe,0.656
Dryden Street,53.794282,-2.306373,Padiham,Shaw Brook Tributary,0.322
Cock Beck Sluices,53.874564,-1.253163,Tadcaster,River Wharfe,6.71
"Bishops Stortford, Grange Paddocks",51.878177,0.160906,Bishop's Stortford,Stort,0.235
Freemans Weir,52.619792,-1.146475,Aylestone,River Soar,0.225
Harlow Mill,51.795404,0.134177,Harlow,Stort,1.017
Cookham Lock,51.560993,-0.694635,Cookham,Thames,0.127
Osney Lock,51.74909,-1.272781,Botley,Thames,0.039
Swallowfield Side Channel,51.377564,-0.952526,Swallowfield,River Blackwater,0.571
Manor House Gardens,51.45563,0.00613,Hither Green,Quaggy,0.166
Kielder Burn,55.245179,-2.561466,Kielder,Kielder Burn,0.477
Toynton Fenside,53.144479,0.086945,Toynton Fen Side,East fen Catchwater,0.496
Wherwell RL,51.166603,-1.441818,Wherwell,Test,
Beech Hill,51.385195,-1.002649,Grazeley,Foudry Brook,0.841
Cappenham,52.131783,-0.962049,Cappenham,River Tove,0.384
Slaughterbridge,50.640424,-4.675182,Camelford,River Camel,0.458
Weedon,52.229209,-1.080484,Weedon Bec,Weedon Beck,0.074
Markyate,51.838108,-0.461149,Markyate,Ver,-0.005
Hadfields,53.413919,-1.416218,Tinsley,River Don,0.493
Kirkby Mills,54.260305,-0.919219,Kirkby Mills,River Dove,0.473
Babraham,52.131206,0.205231,Babraham,River Granta,0.107
Keynsham RL,51.421461,-2.492956,Keynsham,River Avon,0.756
Aldwark Bridge,54.053636,-1.288144,Aldwark,River Ure,1.531
IPING MILL,50.999232,-0.786847,Midhurst,Rother (West Sussex),0.863
"Hoddesdon, Rye Bridge",51.770008,0.006126,Hoddesdon,Lee,2.848
Weston Bampfylde,51.023159,-2.565568,Weston Bampfylde,River Cam,0.135
Forde Abbey,50.841739,-2.916366,Forde Abbey,River Axe,0.564
Wooler,55.547487,-2.011059,Wooler,Wooler Water,0.187
Linton,52.093158,0.292511,Linton,River Granta,0.086
Maidenbower,51.110238,-0.153871,Maidenbower,Gatwick Stream,1.054
North Cave,53.77313,-0.651055,North Cave,Mires Beck,0.242
Mimmshall Brook,51.706896,-0.217824,South Mimms,Mimmshall Brook,0.483
Comberton,52.175048,0.01962,Comberton,Bourn Brook,0.408
Burcote,52.555203,-2.376056,Allscott,River Worfe,0.312
Sandhurst,51.887818,-2.256949,Maisemore,River Severn,1.494
Brackley,52.031808,-1.132641,Brackley,River Great Ouse,0.367
St Andrews Mill,52.244802,-0.905866,Northampton,Nene - Brampton Branch,0.271
Albert Royds Bridge,53.62694,-2.13755,Smallbridge,Roch,0.706
Lifton Park,50.635525,-4.279753,Lifton,River Lyd,0.689
Calne,51.438369,-2.003555,Calne,River Marden,0.288
Wakefield,53.677173,-1.491306,Wakefield,River Calder,0.319
North Molton,51.055152,-3.795036,North Molton,River Mole,0.343
Godmanchester,52.318507,-0.176335,Godmanchester,River Great Ouse,0.334
Newbury,51.401605,-1.323874,Newbury,Kennet,1.032
Woodford Halse,52.167771,-1.212815,Hinton,Cherwell,0.981
Glusburn Bridge,53.897872,-2.008295,Glusburn,Eastburn Beck,0.548
Fosseway,51.581999,-2.158019,Easton Grey,Sherston Avon,0.334
Bridgham,52.432388,0.877025,Bridgham,Thet,0.334
Maiden Newton,50.776561,-2.574345,Maiden Newton,River Frome,0.33
Goytside Farm,53.357485,-1.996738,New Mills,Goyt,0.944
Barnes,51.47009,-0.245065,Barnes,Beverley Brook,1.339
Whitchurch Lock,51.486605,-1.088869,Pangbourne,Thames,0.111
Farrer Lane,53.747992,-1.448902,Oulton,Oulton Beck,0.215
"Preesall Pumping Station, Cockers Dyke",53.938698,-2.955067,Pilling Lane,Cockers Dyke,0.776
Hornchurch,51.546517,0.183966,Elm Park,Beam,0.257
Austins Bridge,50.479033,-3.761402,Buckfastleigh,River Dart,0.792
Cae Howel,52.74743,-2.972211,Melverley,River Severn,3.196
High Green,53.467219,-1.473784,Sheffield,Charlton Brook,0.154
Bishopstoke,50.970553,-1.344248,Bishopstoke,Itchen,1.051
Great Easton Flood Storage Reservoir,52.529248,-0.758769,Great Easton,Nene (Wollaston-Wansford),0.579
Kirk Bramwith,53.596385,-1.063688,Kirk Bramwith,River Don,2.723
Boscadjack,50.131125,-5.255319,Wendron,River Cober,0.449
"Enfield, The Chine",51.643461,-0.095003,Winchmore Hill,Salmon Brook,1.207
Blandford,50.853069,-2.167089,Blandford St Mary,River Stour,0.214
Todmorden Salford,53.710539,-2.101856,Todmorden,Walsden Water,0.221
Castleford,53.731002,-1.358177,Castleford,River Aire,1.791
Stanford Bridge,52.28899,-2.418688,Stanford Bridge,River Teme,1.418
Braystones,54.440158,-3.529373,Braystones,River Ehen,0.761
Compstall,53.413802,-2.058026,Compstall,Etherow,0.496
Brinksway,53.407306,-2.174445,Stockport,Mersey,1.022
Besford Bridge,52.114425,-2.108012,Pershore,Bow Brook,0.328
Birstwith,54.038156,-1.650292,Birstwith,River Nidd,0.744
Kites Hardwick,52.313513,-1.314911,Kites Hardwick,River Leam,0.316
Netherbury,50.789421,-2.750022,Netherbury,River Brit,0.37
Windyridge Road,51.91699,-2.086745,Cheltenham,Wymans Brook,0.428
Bardsey,53.883728,-1.440943,Bardsey,Bardsey Beck,0.186
Woodlands Road,51.405031,0.056251,Bickley,Kyd Brook,1.195
Dane End,51.875292,-0.062702,Dane End,Beane,0.719
Manthorpe,52.731094,-0.419825,Manthorpe,East Glen (To Kates Bridge),0.515
Brigflats,54.314107,-2.555012,Sedbergh,Rawthey,1.1
Sampford Brett,51.155718,-3.302248,Sampford Brett,Doniford Stream,0.063
Hendal Bridge,51.108316,0.172486,Groombridge,Eridge Stream Tributary  Medway,0.662
Houghton,53.543567,-1.369767,Darfield,River Dearne,0.32
Coney Gut,51.073179,-4.041276,Barnstaple,Coney Gut,0.502
Great Ayton,54.488529,-1.135197,Great Ayton,River Leven,0.156
Saltford,51.399488,-2.447727,Saltford,River Avon,0.749
Kingskerswell,50.486806,-3.568943,Kingskerswell,Aller Brook,0.414
Thornton le Dale,54.23945,-0.717218,Thornton le Dale,Thornton Beck,0.178
"Sands Centre, Carlisle",54.898639,-2.932277,"Sands Centre, Carlisle",River Eden,2.02
