Station,Lat,Long,Town,River,Water Level
Withy Bridge,50.752006,-3.454461,Broadclyst,River Clyst,0.189
Bransford,52.177055,-2.28833,Bransford,River Teme,1.256
Dodford,52.240918,-1.083171,Dodford,Nene - Whitton Branch,0.18
Wharf Mill,51.0582,-1.308338,Winchester,Itchen,0.399
St Erth,50.156881,-5.432918,St Erth,River Hayle,0.457
Thirsk,54.235258,-1.341973,Thirsk,Cod Beck,0.641
Castleton,54.466168,-0.944968,Castleton,River Esk,0.169
Portwood,53.42353,-2.141405,Bredbury,Tame,0.288
Ilfracombe Lambda,51.196412,-4.120133,Ilfracombe,East Wilder Brook,0.3
Wanes Blades,53.607043,-2.793103,Newburgh,Douglas,1.06
Bulwell,53.009557,-1.190048,Bulwell,River Leen,0.384
Nutclough,53.744763,-2.010569,Hebden Bridge,Hebden Water,0.148
Rodbourne,51.571821,-1.816698,Haydon Wick,Ray (Wilts),0.191
Edgware Hospital,51.607093,-0.271414,Edgware,Silk Stream,0.832
Sawbridgeworth,51.812151,0.158674,Sawbridgeworth,Stort,1.283
Witham Friary,51.169425,-2.364153,Witham Friary,Somerset Frome,-0.073
Glemsford,52.09308,0.693213,Stanstead,River Glem,0.223
Donington Bridge,52.90501,-0.255888,Bridge End,South Forty Foot,0.117
Saintbridge,51.848419,-2.217412,Gloucester,Twyver,0.008
Horton weir,51.257785,1.030079,Chartham,Great Stour,0.297
Barnsley,53.560696,-1.473078,Barnsley,River Dearne,0.388
White Water Dyke,51.121217,0.85627,Kingsnorth,White Water Dyke Tributary  East Stour,0.144
Winsford Road,51.435695,-0.027404,Catford,Pool River,0.175
East Budleigh,50.652217,-3.320001,East Budleigh,Budleigh Brook,0.639
Oulton Broad,52.474903,1.71041,Oulton Broad,River Waveney,-0.188
Beggearn Huish,51.14633,-3.373795,Washford,Washford River,0.283
Beaminster,50.807196,-2.739279,Beaminster,River Brit,0.28
Abingdon,51.666656,-1.305189,Abingdon,Ock,0.212
Haltwhistle,54.967781,-2.460104,Haltwhistle,River Tyne,1.015
Bridge Rule,50.799229,-4.450269,Bridge Rule,River Tamar,0.876
Duffield,52.998306,-1.525391,Windley,River Ecclesbourne,0.55
Sewards Bridge,51.086429,-1.181847,New Alresford,Cheriton Stream,0.263
Evesham,52.092165,-1.942876,Evesham,River Avon,0.631
Butts Bridge,52.226571,-2.730348,Butts Bridge,Lugg,1.53
Zoon's Court Flood Storage,51.868902,-2.196045,Gloucester,Horsbere Brook,0.274
Leasingham Mill,53.022732,-0.379369,Evedon,Slea,0.168
Cockfield,52.135453,0.794489,Cockfield,River Brett,0.162
Beetham Weir,54.218531,-2.774107,Beetham,River Bela,0.616
Crookham Village,51.262934,-0.867562,Crookham Village,Hart,0.679
Marston on Dove,52.855534,-1.648727,Rolleston On Dove,River Dove,0.992
Brendon,51.219143,-3.751991,Brendon,East Lyn River,1.517
Evenlode Bridge,51.95095,-1.679842,Evenlode,Evenlode,0.624
Bodiam Avenue,51.832287,-2.270144,Gloucester,Daniels Brook,0.005
Bray Lock,51.509305,-0.69032,Bray,Thames,0.269
Lexden,51.89895,0.851031,Beacon End,River Colne,0.438
Farnworth,53.557357,-2.388815,Farnworth,Croal,0.324
Kilham's Bridge,51.898975,0.358984,North Wootton,Wallington,1.007
Leek,53.1201,-2.012802,Leek,River Churnet,0.499
Cononley,53.918229,-2.006046,Cononley,River Aire,0.71
"Waltham Abbey, Sewardstone Road",51.681471,0.004958,Waltham Abbey,Cobbins Brook,0.429
St Blazey Station Road,50.361418,-4.715659,St Blazey,St Blazey Stream,0.058
Hudds Mill,52.654318,-0.461033,Stamford,Welland (Stamford - Peakirk),0.101
St Ives,52.317315,-0.072946,St Ives,River Great Ouse,0.128
Welsh Bridge,52.709797,-2.75808,Shrewsbury,River Severn,1.821
Shonks Mill Bridge,51.661693,0.209122,Navestock Heath,Roding,0.548
Threlkeld,54.613784,-3.050496,Threlkeld,Glendermackin,0.906
Colney Street,51.704664,-0.336052,Colney Street,Ver,0.193
Trengune,50.710701,-4.56631,Trengune,River Ottery,0.299
Chertsey Lock,51.390617,-0.48637,Chertsey,Thames,0.275
Exwick,50.734613,-3.547352,Exeter,River Exe,0.332
Wakefield Henry Street Br,53.681612,-1.517112,Hedon Westlands Drain,Alverthorpe Beck,0.058
Ladock,50.321143,-4.961751,Ladock,Tresillian River,0.156
Partney,53.187011,0.096794,Partney,Lymn & Steeping,0.136
Levisham Mill,54.299848,-0.717923,Levisham,Levisham Beck,0.172
Maunby,54.270085,-1.467898,Maunby,River Swale,2.383
